成分股代码_CompoStkCd,成分股名称_CompoStkNm,开始日期_BegDt,结束日期_EndDt
656,金科股份,2019-06-17,2021-12-10
728,国元证券,2008-07-01,2021-12-10
860,顺鑫农业,2020-06-15,2021-12-10
2153,石基信息,2014-12-15,2021-12-10
2384,东山精密,2020-12-14,2021-12-10
2456,欧菲光,2013-12-16,2021-12-10
2463,沪电股份,2020-06-15,2021-12-10
2508,老板电器,2017-06-12,2021-12-10
2558,巨人网络,2017-06-12,2021-12-10
2673,西部证券,2013-01-04,2021-12-10
2739,万达电影,2019-06-17,2021-12-10
2773,康弘药业,2018-12-17,2021-12-10
2939,长城证券,2019-06-17,2021-12-10
2945,华林证券,2019-06-17,2021-12-10
300136,信维通信,2017-12-11,2021-12-10
600118,中国卫星,2007-01-04,2021-12-10
600233,圆通速递,2017-06-12,2021-12-10
600299,安迪苏,2019-06-17,2021-12-10
600340,华夏幸福,2013-01-04,2021-12-10
600482,中国动力,2016-12-12,2021-12-10
600521,华海药业,2021-06-15,2021-12-10
600522,中天科技,2017-06-12,2021-12-10
600703,三安光电,2011-01-04,2021-12-10
600705,中航产融,2013-12-16,2021-12-10
601077,渝农商行,2020-06-15,2021-12-10
601555,东吴证券,2012-07-02,2021-12-10
601727,上海电气,2014-12-15,2021-12-10
601872,招商轮船,2020-12-14,2021-12-10
1,平安银行,2005-04-08,
2,万科,2005-04-08,
63,中兴通讯,2005-04-08,
66,中国长城,2020-06-15,
69,华侨城,2005-04-08,
100,TCL科技,2009-01-05,
157,中联重科,2005-04-08,
166,申万宏源,2015-01-26,
333,美的集团,2013-09-18,
338,潍柴动力,2008-01-02,
425,徐工机械,2005-04-08,
538,云南白药,2005-07-01,
568,泸州老窖,2005-04-08,
596,古井贡酒,2019-06-17,
625,长安汽车,2005-04-08,
651,格力电器,2005-04-08,
661,长春高新,2018-12-17,
703,恒逸石化,2018-12-17,
708,中信特钢,2020-06-15,
725,京东方,2012-07-02,
768,中航西飞,2006-01-04,
776,广发证券,2011-01-04,
783,长江证券,2008-07-01,
786,北新建材,2018-06-11,
800,一汽解放,2021-06-15,
858,五粮液,2005-04-08,
876,新希望,2007-07-02,
895,双汇发展,2008-01-02,
938,紫光股份,2016-12-12,
963,华东医药,2013-07-01,
977,浪潮信息,2020-06-15,
1979,招商蛇口,2015-12-30,
2001,新和成,2018-12-17,
2007,华兰生物,2010-01-04,
2008,大族激光,2014-06-16,
2024,苏宁易购,2005-07-01,
2027,分众传媒,2016-06-13,
2032,苏泊尔,2018-12-17,
2044,美年健康,2017-06-12,
2049,紫光国微,2020-12-14,
2050,三花智控,2018-06-11,
2120,韵达股份,2018-12-17,
2129,中环股份,2020-06-15,
2142,宁波银行,2008-01-02,
2157,正邦科技,2020-06-15,
2179,中航光电,2018-12-17,
2202,金风科技,2008-07-01,
2230,科大讯飞,2013-12-16,
2236,大华股份,2013-01-04,
2241,歌尔股份,2012-07-02,
2252,上海莱士,2014-06-16,
2271,东方雨虹,2018-12-17,
2304,洋河股份,2010-07-01,
2311,海大集团,2018-12-17,
2352,顺丰控股,2017-06-12,
2371,北方华创,2020-06-15,
2410,广联达,2019-06-17,
2414,高德红外,2020-12-14,
2415,海康威视,2011-01-04,
2460,赣锋锂业,2017-12-11,
2475,立讯精密,2014-06-16,
2493,荣盛石化,2018-06-11,
2555,三七互娱,2017-06-12,
2594,比亚迪,2012-01-04,
2600,领益智造,2020-12-14,
2601,龙佰集团,2017-12-11,
2602,世纪华通,2017-06-12,
2607,中公教育,2019-12-16,
2624,完美世界,2017-12-11,
2714,牧原股份,2016-12-12,
2736,国信证券,2015-06-15,
2812,恩捷股份,2020-12-14,
2821,凯莱英,2020-12-14,
2841,视源股份,2019-12-16,
2916,深南电路,2019-12-16,
2938,鹏鼎控股,2019-06-17,
3816,中国广核,2020-06-15,
300003,乐普医疗,2017-12-11,
300014,亿纬锂能,2020-06-15,
300015,爱尔眼科,2017-12-11,
300033,同花顺,2016-12-12,
300059,东方财富,2015-06-15,
300122,智飞生物,2017-12-11,
300124,汇川技术,2014-12-15,
300142,沃森生物,2018-12-17,
300144,宋城演艺,2015-12-14,
300274,阳光电源,2021-06-15,
300347,泰格医药,2019-12-16,
300408,三环股份,2018-06-11,
300413,芒果超媒,2019-06-17,
300433,蓝思科技,2018-06-11,
300450,先导智能,2021-06-15,
300498,温氏股份,2019-06-17,
300529,健帆生物,2020-12-14,
300558,贝达药业,2021-06-15,
300595,欧普康视,2021-06-15,
300601,康泰生物,2020-06-15,
300628,亿联网络,2020-06-15,
300676,华大基因,2020-12-14,
300677,英科医疗,2021-06-15,
600000,浦发银行,2005-04-08,
600009,上海机场,2005-04-08,
600010,包钢股份,2005-04-08,
600011,华能国际,2017-12-11,
600015,华夏银行,2005-04-08,
600016,民生银行,2005-04-08,
600018,上港集团,2013-12-16,
600019,宝钢股份,2005-04-08,
600025,华能水电,2018-06-11,
600028,中国石化,2005-04-08,
600029,南方航空,2005-04-08,
600030,中信证券,2005-04-08,
600031,三一重工,2005-04-08,
600036,招商银行,2005-04-08,
600048,保利发展,2007-01-04,
600050,中国联通,2005-04-08,
600061,国投资本,2016-06-13,
600079,人福医药,2021-06-15,
600085,同仁堂,2005-04-08,
600104,上汽集团,2005-04-08,
600109,国金证券,2008-01-02,
600111,北方稀土,2008-01-02,
600115,中国东航,2011-01-04,
600132,重庆啤酒,2021-06-15,
600143,金发科技,2021-06-15,
600150,中国船舶,2020-12-14,
600161,天坛生物,2020-12-14,
600176,中国巨石,2018-06-11,
600183,生益科技,2019-12-16,
600196,复星医药,2005-04-08,
600276,恒瑞医药,2011-01-04,
600309,万华化学,2005-04-08,
600332,白云山,2013-07-01,
600346,恒力股份,2018-06-11,
600352,浙江龙盛,2009-07-01,
600362,江西铜业,2005-04-08,
600383,金地集团,2006-01-04,
600406,国电南瑞,2011-01-04,
600426,华鲁恒升,2021-06-15,
600436,片仔癀,2017-06-12,
600438,通威股份,2018-06-11,
600489,中金黄金,2007-01-04,
600519,贵州茅台,2005-04-08,
600547,山东黄金,2007-01-04,
600570,恒生电子,2014-12-15,
600584,长电科技,2020-12-14,
600585,海螺水泥,2005-04-08,
600588,用友网络,2009-01-05,
600600,青岛啤酒,2020-12-14,
600606,绿地控股,2016-06-13,
600655,豫园股份,2019-12-16,
600660,福耀玻璃,2005-04-08,
600690,海尔智家,2005-04-08,
600741,华域汽车,2005-04-08,
600745,闻泰科技,2020-06-15,
600760,中航沈飞,2018-12-17,
600763,通策医疗,2020-12-14,
600795,国电电力,2005-04-08,
600809,山西汾酒,2018-06-11,
600837,海通证券,2007-07-02,
600845,宝信软件,2020-12-14,
600848,上海临港,2019-12-16,
600872,中炬高新,2020-12-14,
600886,国投电力,2013-01-04,
600887,伊利股份,2011-01-04,
600893,航发动力,2011-01-04,
600900,长江电力,2005-04-08,
600918,中泰证券,2020-12-14,
600919,江苏银行,2017-06-12,
600926,杭州银行,2017-06-12,
600958,东方证券,2015-06-15,
600989,宝丰能源,2019-12-16,
600999,招商证券,2010-07-01,
601006,大秦铁路,2006-08-15,
601009,南京银行,2008-01-02,
601012,隆基股份,2017-12-11,
601021,春秋航空,2015-06-15,
601066,中信建投,2018-12-17,
601088,中国神华,2007-10-23,
601100,恒立液压,2020-06-15,
601108,财通证券,2018-06-11,
601111,中国国航,2007-01-04,
601138,工业富联,2018-12-17,
601155,新城控股,2016-12-12,
601162,天风证券,2019-06-17,
601166,兴业银行,2007-02-26,
601169,北京银行,2008-01-02,
601186,中国铁建,2009-01-05,
601211,国泰君安,2015-12-14,
601216,君正集团,2014-06-16,
601225,陕西煤业,2014-06-16,
601229,上海银行,2017-06-12,
601231,环旭电子,2020-06-15,
601236,红塔证券,2019-12-16,
601238,广汽集团,2018-06-11,
601288,农业银行,2010-07-29,
601318,中国平安,2007-03-15,
601319,中国人保,2019-06-17,
601328,交通银行,2007-05-29,
601336,新华保险,2012-07-02,
601360,三六零,2018-06-11,
601377,兴业证券,2011-07-01,
601390,中国中铁,2008-07-01,
601398,工商银行,2006-11-10,
601600,中国铝业,2007-04-30,
601601,中国太保,2008-07-01,
601607,上海医药,2010-07-01,
601618,中国中冶,2010-01-04,
601628,中国人寿,2007-01-23,
601633,长城汽车,2012-07-02,
601658,邮储银行,2020-06-15,
601668,中国建筑,2010-01-04,
601669,中国电建,2012-07-02,
601688,华泰证券,2010-07-01,
601696,中银证券,2020-12-14,
601698,中国卫通,2019-12-16,
601766,中国中车,2009-07-01,
601788,光大证券,2015-06-15,
601799,星宇股份,2021-06-15,
601800,中国交建,2013-01-04,
601808,中海油服,2018-06-11,
601816,京沪高铁,2020-06-15,
601818,光大银行,2011-01-04,
601838,成都银行,2018-06-11,
601857,中国石油,2007-11-19,
601877,正泰电器,2016-12-12,
601878,浙商证券,2017-12-11,
601881,中国银河,2017-06-12,
601888,中国中免,2010-07-01,
601899,紫金矿业,2009-01-05,
601901,方正证券,2012-07-02,
601916,浙商银行,2020-06-15,
601919,中远海控,2015-06-15,
601933,永辉超市,2011-07-01,
601939,建设银行,2008-07-01,
601985,中国核电,2015-12-14,
601988,中国银行,2006-07-19,
601989,中国重工,2010-07-01,
601990,南京证券,2020-12-14,
601995,中金公司,2021-06-15,
601998,中信银行,2007-05-18,
603019,中科曙光,2019-06-17,
603087,甘李药业,2020-12-14,
603160,汇顶科技,2017-06-12,
603195,公牛集团,2020-12-14,
603233,大参林,2021-06-15,
603259,药明康德,2018-12-17,
603288,海天味业,2018-06-11,
603338,浙江鼎力,2021-06-15,
603369,今世缘,2020-06-15,
603392,万泰生物,2020-12-14,
603501,韦尔股份,2019-12-16,
603517,绝味食品,2021-06-15,
603658,安图生物,2020-06-15,
603659,璞泰来,2021-06-15,
603799,华友钴业,2017-12-11,
603806,福斯特,2021-06-15,
603833,欧派家居,2017-12-11,
603882,金域医学,2021-06-15,
603899,晨光文具,2019-12-16,
603939,益丰药房,2021-06-15,
603986,兆易创新,2018-12-17,
603993,洛阳钼业,2013-07-01,
688008,澜起科技,2020-12-14,
688009,中国通号,2020-12-14,
688012,中微公司,2020-12-14,
688036,传音控股,2020-12-14,
688111,金山办公,2021-06-15,
688126,沪硅产业,2021-06-15,
688169,石头科技,2021-06-15,
688363,华熙生物,2021-06-15,
688396,华润微,2021-06-15,
